Nomor,T-in (mm.ss),T-out (mm.ss),T-in,T-out,ΔT,Volume,VMax,Kepadatan,Kecepatan,Kecepatan Normalisasi,Keterangan Video
1,0:02,0:21,2,16,14,3,35,0.0857142857142857,2.85714285714286,0.285714285714286,Video 1
2,0:04,0:16,6,16,10,4,35,0.114285714285714,4,0.4,Video 1
3,0:06,0:21,6,21,15,5,35,0.142857142857143,2.66666666666667,0.266666666666667,Video 1
4,0:09,0:25,9,24,15,4,35,0.114285714285714,2.66666666666667,0.266666666666667,Video 1
5,0:30,0:51,30,48,18,7,35,0.2,2.22222222222222,0.222222222222222,Video 1
6,0:33,0:50,33,50,17,6,35,0.171428571428571,2.35294117647059,0.235294117647059,Video 1
7,0:38,0:53,38,53,15,5,35,0.142857142857143,2.66666666666667,0.266666666666667,Video 1
8,0:40,0:51,40,51,11,6,35,0.171428571428571,3.63636363636364,0.363636363636364,Video 1
9,1:40,1:50,100,110,10,4,35,0.114285714285714,4,0.4,Video 1
10,1:43,1:53,103,113,10,3,35,0.0857142857142857,4,0.4,Video 1
11,1:46,1:55,106,115,9,4,35,0.114285714285714,4.44444444444445,0.444444444444445,Video 1
12,1:49,1:59,109,118,9,5,35,0.142857142857143,4.44444444444445,0.444444444444445,Video 1
13,1:52,2:06,112,125,13,6,35,0.171428571428571,3.07692307692308,0.307692307692308,Video 1
14,2:07,2:16,127,136,9,4,35,0.114285714285714,4.44444444444445,0.444444444444445,Video 1
15,2:11,2:20,131,140,9,4,35,0.114285714285714,4.44444444444445,0.444444444444445,Video 1
16,2:15,2:25,135,145,10,4,35,0.114285714285714,4,0.4,Video 1
17,2:15,2:24,135,144,9,4,35,0.114285714285714,4.44444444444445,0.444444444444445,Video 1
18,2:20,2:30,140,149,9,3,35,0.0857142857142857,4.44444444444445,0.444444444444445,Video 1
19,2:25,2:34,145,154,9,2,35,0.0571428571428571,4.44444444444445,0.444444444444445,Video 1
20,2:27,2:37,147,157,10,3,35,0.0857142857142857,4,0.4,Video 1
21,2:29,2:40,149,160,11,4,35,0.114285714285714,3.63636363636364,0.363636363636364,Video 1
22,2:31,2:42,151,162,11,4,35,0.114285714285714,3.63636363636364,0.363636363636364,Video 1
23,2:33,2:47,153,167,14,4,35,0.114285714285714,2.85714285714286,0.285714285714286,Video 1
24,2:35,2:44,155,164,9,4,35,0.114285714285714,4.44444444444445,0.444444444444445,Video 1
25,2:37,2:51,157,171,14,5,35,0.142857142857143,2.85714285714286,0.285714285714286,Video 1
26,2:39,2:54,159,174,15,5,35,0.142857142857143,2.66666666666667,0.266666666666667,Video 1
27,2:43,2:59,163,178,15,4,35,0.114285714285714,2.66666666666667,0.266666666666667,Video 1
28,2:46,3:00,166,180,14,4,35,0.114285714285714,2.85714285714286,0.285714285714286,Video 1
29,2:48,3:03,168,183,15,4,35,0.114285714285714,2.66666666666667,0.266666666666667,Video 1
