Nomor,T-in (mm.ss),T-out (mm.ss),T-in,T-out,ΔT,Volume,VMax,Kepadatan,Kecepatan,Kecepatan Normalisasi,Hambatan Kendaraan Menyebrang,Hambatan Kendaraan Besar,Hambatan Kendaraan Berhenti Pada Sisi Jalan,Total Hambatan,Keterangan Video
1,0:10,0:22,10,22,12,7,35,0.2,3.33333333333333,0.416666666666667,1,1,0,2,Video 1
2,0:12,0:27,12,27,15,7,35,0.2,2.66666666666667,0.333333333333333,0,1,0,1,Video 1
3,0:15,0:29,15,29,14,7,35,0.2,2.85714285714286,0.357142857142857,0,2,0,2,Video 1
4,0:17,0:31,17,31,14,6,35,0.171428571428571,2.85714285714286,0.357142857142857,0,2,0,2,Video 1
5,0:21,0:34,21,34,13,6,35,0.171428571428571,3.07692307692308,0.384615384615385,0,1,0,1,Video 1
6,0:21,0:37,21,37,16,7,35,0.2,2.5,0.3125,0,1,0,1,Video 1
7,0:23,0:36,23,36,13,7,35,0.2,3.07692307692308,0.384615384615385,0,1,0,1,Video 1
8,0:25,0:38,25,37,12,7,35,0.2,3.33333333333333,0.416666666666667,0,1,0,1,Video 1
9,0:42,0:55,42,55,13,6,35,0.171428571428571,3.07692307692308,0.384615384615385,1,0,0,1,Video 1
10,0:43,0:58,43,58,15,6,35,0.171428571428571,2.66666666666667,0.333333333333333,1,1,0,2,Video 1
11,0:46,1:00,46,60,14,6,35,0.171428571428571,2.85714285714286,0.357142857142857,0,1,0,1,Video 1
12,0:49,1:03,49,63,14,7,35,0.2,2.85714285714286,0.357142857142857,0,2,0,2,Video 1
13,0:52,1:05,52,65,13,6,35,0.171428571428571,3.07692307692308,0.384615384615385,0,3,0,3,Video 1
14,0:54,1:10,54,69,15,6,35,0.171428571428571,2.66666666666667,0.333333333333333,0,3,0,3,Video 1
15,0:57,1:12,57,72,15,6,35,0.171428571428571,2.66666666666667,0.333333333333333,1,2,0,3,Video 1
16,1:00,1:15,60,75,15,6,35,0.171428571428571,2.66666666666667,0.333333333333333,0,2,0,2,Video 1
17,1:04,1:26,64,86,22,5,35,0.142857142857143,1.81818181818182,0.227272727272727,0,2,0,2,Video 1
18,1:14,1:29,74,89,15,4,35,0.114285714285714,2.66666666666667,0.333333333333333,1,1,0,2,Video 1
19,1:16,1:31,76,91,15,3,35,0.0857142857142857,2.66666666666667,0.333333333333333,1,1,0,2,Video 1
20,1:20,1:34,80,94,14,4,35,0.114285714285714,2.85714285714286,0.357142857142857,0,1,0,1,Video 1
21,1:24,1:38,84,98,14,5,35,0.142857142857143,2.85714285714286,0.357142857142857,0,1,0,1,Video 1
22,1:28,1:40,88,100,12,6,35,0.171428571428571,3.33333333333333,0.416666666666667,0,1,0,1,Video 1
23,1:31,1:43,91,102,11,6,35,0.171428571428571,3.63636363636364,0.454545454545455,0,1,0,1,Video 1
24,1:34,1:48,94,108,14,5,35,0.142857142857143,2.85714285714286,0.357142857142857,0,1,0,1,Video 1
25,1:57,2:09,117,128,11,4,35,0.114285714285714,3.63636363636364,0.454545454545455,1,0,0,1,Video 1
26,1:59,2:11,119,131,12,4,35,0.114285714285714,3.33333333333333,0.416666666666667,1,0,0,1,Video 1
27,2:50,3:05,170,185,15,5,35,0.142857142857143,2.66666666666667,0.333333333333333,1,0,0,1,Video 1
28,2:51,3:03,171,183,12,5,35,0.142857142857143,3.33333333333333,0.416666666666667,1,0,0,1,Video 1
29,3:57,4:07,237,247,10,1,35,0.0285714285714286,4,0.5,1,0,0,1,Video 1
30,4:31,4:42,271,282,11,6,35,0.171428571428571,3.63636363636364,0.454545454545455,0,1,0,1,Video 1
31,4:32,4:42,272,282,10,6,35,0.171428571428571,4,0.5,0,1,0,1,Video 1
32,4:34,4:42,274,282,8,6,35,0.171428571428571,5,0.625,0,1,0,1,Video 1
33,4:36,4:46,276,286,10,5,35,0.142857142857143,4,0.5,0,1,0,1,Video 1
34,5:33,5:47,333,347,14,5,35,0.142857142857143,2.85714285714286,0.357142857142857,1,0,0,1,Video 1
35,5:34,5:43,334,343,9,5,35,0.142857142857143,4.44444444444445,0.555555555555556,1,0,0,1,Video 1
36,6:14,6:30,374,390,16,6,35,0.171428571428571,2.5,0.3125,1,0,0,1,Video 1
37,6:48,7:11,408,431,23,6,35,0.171428571428571,1.73913043478261,0.217391304347826,1,0,0,1,Video 1
38,6:55,7:13,415,433,18,7,35,0.2,2.22222222222222,0.277777777777778,1,0,0,1,Video 1
39,7:17,7:28,437,448,11,9,35,0.257142857142857,3.63636363636364,0.454545454545455,0,1,0,1,Video 1
40,7:19,7:31,439,451,12,9,35,0.257142857142857,3.33333333333333,0.416666666666667,0,1,0,1,Video 1
41,7:20,7:37,440,457,17,8,35,0.228571428571429,2.35294117647059,0.294117647058824,0,1,0,1,Video 1
42,7:23,7:39,443,459,16,6,35,0.171428571428571,2.5,0.3125,0,1,0,1,Video 1
