Nomer,T-in (mm.ss),T-out (mm.ss),T-in (s),T-out (s),ΔT (s),Volume,VMax,Kepadatan,Kecepatan,Kecepatan Normalisasi,Hambatan Kendaraan Menyebrang,Hambatan Kendaraan Besar,Hambatan Kendaraan Berhenti Pada Sisi Jalan,Total Hambatan
1,0:02,0:21,2,16,14,3,35,0.0857142857142857,2.85714285714286,0.357142857142857,0,0,0,0
2,0:04,0:16,6,16,10,4,35,0.114285714285714,4,0.5,0,0,0,0
3,0:06,0:21,6,21,15,5,35,0.142857142857143,2.66666666666667,0.333333333333333,0,0,0,0
4,0:09,0:25,9,24,15,4,35,0.114285714285714,2.66666666666667,0.333333333333333,0,0,0,0
5,0:10,0:22,10,22,12,7,35,0.2,3.33333333333333,0.416666666666667,1,1,0,2
6,0:12,0:27,12,27,15,7,35,0.2,2.66666666666667,0.333333333333333,0,1,0,1
7,0:15,0:29,15,29,14,7,35,0.2,2.85714285714286,0.357142857142857,0,2,0,2
8,0:17,0:31,17,31,14,6,35,0.171428571428571,2.85714285714286,0.357142857142857,0,2,0,2
9,0:21,0:34,21,34,13,6,35,0.171428571428571,3.07692307692308,0.384615384615385,0,1,0,1
10,0:21,0:37,21,37,16,7,35,0.2,2.5,0.3125,0,1,0,1
11,0:23,0:36,23,36,13,7,35,0.2,3.07692307692308,0.384615384615385,0,1,0,1
12,0:25,0:38,25,37,12,7,35,0.2,3.33333333333333,0.416666666666667,0,1,0,1
13,0:30,0:51,30,48,18,7,35,0.2,2.22222222222222,0.277777777777778,0,0,0,0
14,0:33,0:50,33,50,17,6,35,0.171428571428571,2.35294117647059,0.294117647058824,0,0,0,0
15,0:38,0:53,38,53,15,5,35,0.142857142857143,2.66666666666667,0.333333333333333,0,0,0,0
16,0:40,0:51,40,51,11,6,35,0.171428571428571,3.63636363636364,0.454545454545455,0,0,0,0
17,0:42,0:55,42,55,13,6,35,0.171428571428571,3.07692307692308,0.384615384615385,1,0,0,1
18,0:43,0:58,43,58,15,6,35,0.171428571428571,2.66666666666667,0.333333333333333,1,1,0,2
